complaint;category
Hello, the road divider near Bero market is broken and causing traffic problems every day.;Infrastructure & Roads
To whom it may concern, people are dumping waste in the open plot near Koderma and it is attracting stray animals. Please look into this matter urgently.;Waste Management
I am a resident of Ramgarh and there have been several incidents of chain snatching near Kishanpur market recently. This needs to be fixed immediately.;Safety & Public Welfare
Hello, there has been no streetlight on the road near Nagla Basti for over 2 months. We have been complaining about this for a long time now.;Infrastructure & Roads
My child has been unwell and the health worker has not visited our village for vaccination in over 7 weeks. Kindly take necessary action.;Public Health
Sir, the primary health centre in Koderma has no doctor available most days.;Public Health
We residents of Netarhat want to inform you that there has been a power cut in Ranchi for more than 13 hours every day. This is affecting our daily work a lot.;Energy & Sustainability
Respected Sir/Madam, there is no police patrol at night in the Giridih area and residents feel unsafe. We have been complaining about this for a long time now.;Safety & Public Welfare
Hello, the price we are getting for our produce at the mandi is much lower than the announced MSP. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
Sir, there have been several incidents of chain snatching near Bishnupur market recently. Please look into this matter urgently.;Safety & Public Welfare
The railway crossing near Madhopur has no gate and it is very dangerous for pedestrians. Kindly take necessary action.;Safety & Public Welfare
To whom it may concern, there has been no streetlight on the road near Manjhgaon for over 12 months. This needs to be fixed immediately.;Infrastructure & Roads
As a parent of a student in Chaibasa school, our school does not have a library and students have no access to reference books.;Education
We the residents of Chandpur colony want to inform you that there is no proper lighting on the Pakur street and women feel scared to walk alone at night. Kindly repair the streetlights for the safety of women and children.;Safety & Public Welfare
Hello, during the rainy season the road near Jamshedpur gets completely waterlogged and unusable. Kindly send someone to check as soon as possible.;Infrastructure & Roads
We the residents of Pathalgaon colony want to inform you that the railway crossing near Godda has no gate and it is very dangerous for pedestrians. Kindly repair the streetlights for the safety of women and children.;Safety & Public Welfare
Sir, the CCTV cameras installed near Bishnupur market have not been working for months. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Every morning in Khunti plastic waste is being burnt openly near Dumka every evening. Waiting for your response.;Waste Management
I travel through Bishnupur daily and the bridge near Giridih is damaged and vehicles are struggling to cross it. Waiting for your response.;Infrastructure & Roads
