cleaned_complaint;category;category_label
hello road divider near bero market broken causing traffic problems every day;Infrastructure & Roads;4
may concern people dumping waste open plot near koderma attracting stray animals please look matter urgently;Waste Management;7
resident ramgarh several incidents chain snatching near kishanpur market recently needs fixed immediately;Safety & Public Welfare;6
hello streetlight road near nagla basti 2 months complaining long time;Infrastructure & Roads;4
child unwell health worker visited village vaccination 7 weeks kindly take necessary action;Public Health;5
sir primary health centre koderma doctor available days;Public Health;5
residents netarhat want inform power cut ranchi 13 hours every day affecting daily work lot;Energy & Sustainability;3
respected sir madam police patrol night giridih area residents feel unsafe complaining long time;Safety & Public Welfare;6
hello price getting produce mandi much lower announced msp kindly send agriculture officer inspect fields;Agriculture & Rural Development;0
sir several incidents chain snatching near bishnupur market recently please look matter urgently;Safety & Public Welfare;6
railway crossing near madhopur gate dangerous pedestrians kindly take necessary action;Safety & Public Welfare;6
may concern streetlight road near manjhgaon 12 months needs fixed immediately;Infrastructure & Roads;4
parent student chaibasa school school library students access reference books;Education;2
residents chandpur colony want inform proper lighting pakur street women feel scared walk alone night kindly repair streetlights safety women children;Safety & Public Welfare;6
hello rainy season road near jamshedpur gets completely waterlogged unusable kindly send someone check soon possible;Infrastructure & Roads;4
residents pathalgaon colony want inform railway crossing near godda gate dangerous pedestrians kindly repair streetlights safety women children;Safety & Public Welfare;6
sir cctv cameras installed near bishnupur market working months feel safe neighbourhood anymore;Safety & Public Welfare;6
every morning khunti plastic waste burnt openly near dumka every evening waiting response;Waste Management;7
travel bishnupur daily bridge near giridih damaged vehicles struggling cross waiting response;Infrastructure & Roads;4
borewell water locality become hard damaging utensils worried health children water;Water Quality & Sanitation;8
respected sir madam proper road signs sahibganj bypass accidents keep happening requesting resolve soon;Infrastructure & Roads;4
hello wild animals nearby forest keep destroying crops pathalgaon night needs fixed immediately;Agriculture & Rural Development;0
commuters tamar road want inform streetlight road near bero 18 months needs fixed immediately;Infrastructure & Roads;4
open manholes dumka road risky night please help us soon possible;Infrastructure & Roads;4
respected authority proper lighting palamu street women feel scared walk alone night waiting response;Safety & Public Welfare;6
sir anganwadi centre manjhgaon distributed nutrition supplements months really worried health children;Public Health;5
may concern stone crushing unit near godda covers entire area dust every afternoon requesting resolve soon;Air & Environmental Pollution;1
sir ji proper sewage system rampur waste water collects road every day kindly send someone check soon possible;Water Quality & Sanitation;8
respected authority school library students access reference books needs fixed immediately;Education;2
dear officer irrigation canal near dhanbad dry entire season crops dying needs fixed immediately;Agriculture & Rural Development;0
namaste sir main ek kisan hoon silli village seeds supplied agriculture department season germinate properly waiting response;Agriculture & Rural Development;0
respected sir madam vehicles passing tamar road release thick black smoke pollution check ever happens please help us soon possible;Air & Environmental Pollution;1
sir crop insurance claim last season still paid farmers palamu needs fixed immediately;Agriculture & Rural Development;0
every day hazaribagh new transformer promised giridih still installed complaining long time;Energy & Sustainability;3
may concern proper sewage system lakhanpur waste water collects road every day needs fixed immediately;Water Quality & Sanitation;8
respected authority footpath near bokaro broken long time difficult elderly people walk kindly send someone check soon possible;Infrastructure & Roads;4
may concern coal transport trucks passing chaibasa spread black dust houses waiting response;Air & Environmental Pollution;1
residents bokaro street want inform people dumping waste open plot near chatra attracting stray animals please look matter urgently;Waste Management;7
sir ji air quality gumla become bad family keeps coughing waiting response;Air & Environmental Pollution;1
respected authority stagnant water collected near sanitation tank devgarh weeks complaining long time;Water Quality & Sanitation;8
respected authority anganwadi centre kishanpur distributed nutrition supplements months really worried health children;Public Health;5
dear officer playground equipment devgarh broken rusted safe children anymore waiting response;Safety & Public Welfare;6
stone crushing unit near dumka covers entire area dust every afternoon kindly send someone check soon possible;Air & Environmental Pollution;1
sir ji village still proper electricity connection even promised one please look matter urgently;Energy & Sustainability;3
sir ji several incidents chain snatching near simdega market recently kindly send someone check soon possible;Safety & Public Welfare;6
may concern coal transport trucks passing bero spread black dust houses requesting resolve soon;Air & Environmental Pollution;1
sir ji police patrol night torpa area residents feel unsafe kindly send someone check soon possible;Safety & Public Welfare;6
every day sahibganj solar street lights installed koderma stopped working within months please send electrician check meter wiring;Energy & Sustainability;3
new transformer promised devgarh still installed needs fixed immediately;Energy & Sustainability;3
water tank near house cleaned months mosquitoes breeding please help us soon possible;Water Quality & Sanitation;8
respected authority transformer near lakhanpur keeps tripping causing frequent power fluctuations complaining long time;Energy & Sustainability;3
every morning hazaribagh garbage collected street devgarh week please send garbage truck area regularly;Waste Management;7
dear officer air quality pathalgaon become bad family keeps coughing please look matter urgently;Air & Environmental Pollution;1
dear officer culvert near jamshedpur collapsed villagers take long detour waiting response;Infrastructure & Roads;4
school manjhgaon school boundary wall safe exam season affecting studies lot please help;Education;2
respected sir madam garbage collection point near giridih cleared weeks smells bad please send garbage truck area regularly;Waste Management;7
residents ramgarh want inform voltage fluctuation devgarh damaged several household appliances recently;Energy & Sustainability;3
hello sewage water mixing drinking water pipeline madhopur needs fixed immediately;Water Quality & Sanitation;8
farming silli many years wild animals nearby forest keep destroying crops bero night please look matter urgently;Agriculture & Rural Development;0
several incidents chain snatching near palamu market recently requesting resolve soon;Safety & Public Welfare;6
every day sahibganj power cut bishnupur 21 hours every day hope quick action side;Energy & Sustainability;3
sir ji factory near ranchi releases thick black smoke every day hard breathe requesting resolve soon;Air & Environmental Pollution;1
may concern rainy season road near giridih gets completely waterlogged unusable complaining long time;Infrastructure & Roads;4
respected sir madam electricity bill month unusually high even though usage increased needs fixed immediately;Energy & Sustainability;3
respected authority drainage near market dumka blocked garbage overflowing please look matter urgently;Waste Management;7
may concern ambulance service available tamar emergencies hope quick action side;Public Health;5
run shop near dumka market plastic waste burnt openly near palamu every evening needs fixed immediately;Waste Management;7
may concern clean drinking water supply bokaro past 9 days please look matter urgently;Water Quality & Sanitation;8
government school building jamshedpur leaking roof classes get disturbed rain kindly take necessary action;Education;2
respected authority received promised fertilizer subsidy year hope quick action side;Agriculture & Rural Development;0
dear officer drainage near market ramgarh blocked garbage overflowing hope quick action side;Waste Management;7
respected sir madam factory near chandpur releases thick black smoke every day hard breathe complaining long time;Air & Environmental Pollution;1
hello solar street lights installed manjhgaon stopped working within months kindly send someone check soon possible;Energy & Sustainability;3
dear officer culvert near simdega collapsed villagers take long detour hope quick action side;Infrastructure & Roads;4
residents bundu colony want bring notice smoke nearby thermal plant made difficult breathe dhanbad lately waiting response;Air & Environmental Pollution;1
sir ji proper lighting jamshedpur street women feel scared walk alone night feel safe neighbourhood anymore;Safety & Public Welfare;6
residents deoghar want inform power supply godda keeps going every time rains affecting daily work lot;Energy & Sustainability;3
respected sir madam school library students access reference books waiting response;Education;2
respected authority streetlight near girls hostel ranchi feels unsafe walk night needs fixed immediately;Safety & Public Welfare;6
parent student karra school school boundary wall safe exam season please send teachers school soon;Education;2
respected sir madam waste nearby slaughterhouse dumped near chatra without treatment hope quick action side;Waste Management;7
may concern brick kiln near village releases smoke day crops getting affected please look matter urgently;Air & Environmental Pollution;1
respected authority government hospital jamtara always even basic medicines needs fixed immediately;Public Health;5
respected sir madam new transformer promised silli still installed hope quick action side;Energy & Sustainability;3
hello open drains near jamtara overflowing spreading foul smell street kindly send someone check soon possible;Water Quality & Sanitation;8
dear officer primary health centre nagla basti doctor available days please look matter urgently;Public Health;5
respected authority road connecting pakur main highway huge potholes dangerous please look matter urgently;Infrastructure & Roads;4
school khunti received textbooks even though session started 42 months ago;Education;2
hello transformer near nagla basti keeps tripping causing frequent power fluctuations needs fixed immediately;Energy & Sustainability;3
sir ji garbage collected street pathalgaon week;Waste Management;7
farming sahibganj many years proper storage facility ranchi lot grain gets spoiled every year facing lot losses please help soon;Agriculture & Rural Development;0
run shop near kishanpur market people dumping waste open plot near latehar attracting stray animals requesting resolve soon;Waste Management;7
sir school boundary wall safe exam season needs fixed immediately;Education;2
sir police patrol night shivpuri area residents feel unsafe needs fixed immediately;Safety & Public Welfare;6
health worker visited village vaccination 12 weeks needs fixed immediately;Public Health;5
sir seeds supplied agriculture department season germinate properly waiting response;Agriculture & Rural Development;0
hello waste nearby slaughterhouse dumped near gumla without treatment complaining long time;Waste Management;7
student studying ranchi school library students access reference books needs fixed immediately;Education;2
resident khunti factory waste dumped river near jamshedpur use drinking water please help us soon possible;Water Quality & Sanitation;8
may concern road divider near nagla basti market broken causing traffic problems every day complaining long time;Infrastructure & Roads;4
resident jamshedpur want inform government hospital dumka always even basic medicines really worried health children;Public Health;5
class 22 student barhi received textbooks even though session started 36 months ago;Education;2
respected sir madam irrigation canal near barhi dry entire season crops dying please look matter urgently;Agriculture & Rural Development;0
sir vehicles passing karra road release thick black smoke pollution check ever happens needs fixed immediately;Air & Environmental Pollution;1
student studying karra computer lab school non functional long time please send teachers school soon;Education;2
child unwell proper sanitation hospital ward patients getting infections complaining long time;Public Health;5
hello water tank near house cleaned months mosquitoes breeding please help us soon possible;Water Quality & Sanitation;8
every evening deoghar vehicles passing jamshedpur road release thick black smoke pollution check ever happens kindly take necessary action;Air & Environmental Pollution;1
every evening bishnupur air quality chatra become bad family keeps coughing please look matter urgently;Air & Environmental Pollution;1
people dumping waste open plot near bokaro attracting stray animals please look matter urgently;Waste Management;7
resident bokaro want inform mosquito breeding near stagnant water chandpur causing malaria cases rise please send doctor health centre soon;Public Health;5
hand pump village broken 10 days walk far fetch water please help us soon possible;Water Quality & Sanitation;8
respected authority rainy season road near pathalgaon gets completely waterlogged unusable requesting resolve soon;Infrastructure & Roads;4
sir garbage collection point near sultanpur cleared weeks smells bad requesting resolve soon;Waste Management;7
may concern old age home karra enough staff take care residents requesting resolve soon;Safety & Public Welfare;6
resident godda want inform ambulance service available rampur emergencies please help us soon possible;Public Health;5
residents godda want inform power cut chandpur 6 hours every day;Energy & Sustainability;3
child unwell government hospital rampur always even basic medicines please help us soon possible;Public Health;5
may concern public toilet near manjhgaon water connection cannot used kindly repair pipeline people fall sick;Water Quality & Sanitation;8
dear officer vehicles passing sahibganj road release thick black smoke pollution check ever happens please help us soon possible;Air & Environmental Pollution;1
respected sir madam tube well provided government kishanpur stopped working months hope quick action side;Agriculture & Rural Development;0
open drains near pathalgaon overflowing spreading foul smell street waiting response;Water Quality & Sanitation;8
may concern village still proper electricity connection even promised one please send electrician check meter wiring;Energy & Sustainability;3
child unwell government hospital gumla always even basic medicines;Public Health;5
sir ji air quality kishanpur become bad family keeps coughing kindly take necessary action;Air & Environmental Pollution;1
woman living giridih old age home bokaro enough staff take care residents kindly repair streetlights safety women children;Safety & Public Welfare;6
proper sewage system sahibganj waste water collects road every day please send someone test water quality soon;Water Quality & Sanitation;8
sir ji road divider near khunti market broken causing traffic problems every day requesting resolve soon;Infrastructure & Roads;4
writing behalf residents godda anganwadi centre chaibasa distributed nutrition supplements months complaining long time;Public Health;5
student studying devgarh one teacher entire primary school latehar complaining long time;Education;2
respected authority received textbooks even though session started 30 months ago affecting studies lot please help;Education;2
respected authority rainy season road near netarhat gets completely waterlogged unusable kindly send someone check soon possible;Infrastructure & Roads;4
proper lighting manjhgaon street women feel scared walk alone night needs fixed immediately;Safety & Public Welfare;6
parent giridih several incidents chain snatching near madhopur market recently please help us soon possible;Safety & Public Welfare;6
respected authority water pipeline burst 27 days ago dirty muddy water entering homes please help us soon possible;Water Quality & Sanitation;8
open drains near dhanbad overflowing spreading foul smell street requesting resolve soon;Water Quality & Sanitation;8
every morning jamshedpur plastic waste burnt openly near silli every evening please help us soon possible;Waste Management;7
residents manjhgaon want inform voltage fluctuation dhanbad damaged several household appliances recently kindly send someone check soon possible;Energy & Sustainability;3
dear officer solar street lights installed devgarh stopped working within months please help us soon possible;Energy & Sustainability;3
sir ji school boundary wall safe exam season kindly take necessary action;Education;2
run shop near sahibganj market plastic waste burnt openly near giridih every evening please look matter urgently;Waste Management;7
respected sir madam public toilet near chandpur water connection cannot used needs fixed immediately;Water Quality & Sanitation;8
sir garbage collection point near barhi cleared weeks smells bad kindly send someone check soon possible;Waste Management;7
sir irrigation canal near chatra dry entire season crops dying kindly send agriculture officer inspect fields;Agriculture & Rural Development;0
sir railway crossing near bundu gate dangerous pedestrians needs fixed immediately;Safety & Public Welfare;6
every day torpa transformer near sultanpur keeps tripping causing frequent power fluctuations kindly take necessary action;Energy & Sustainability;3
respected sir madam several incidents chain snatching near gumla market recently;Safety & Public Welfare;6
hello children falling sick drinking water supplied sahibganj please send someone test water quality soon;Water Quality & Sanitation;8
sir ji tap water area turned yellow smells bad please help us soon possible;Water Quality & Sanitation;8
residents bero colony want bring notice strong chemical smell coming industrial area near sultanpur every night kindly inspect pollution levels area;Air & Environmental Pollution;1
respected authority smoke nearby thermal plant made difficult breathe torpa lately kindly send someone check soon possible;Air & Environmental Pollution;1
sir farmer dumka crop insurance claim last season still paid farmers tamar hope quick action side;Agriculture & Rural Development;0
hello several incidents chain snatching near godda market recently needs fixed immediately;Safety & Public Welfare;6
may concern sewage water mixing drinking water pipeline chatra complaining long time;Water Quality & Sanitation;8
dear officer open manholes sultanpur road risky night kindly send someone check soon possible;Infrastructure & Roads;4
class 44 student shivpuri one teacher entire primary school madhopur requesting resolve soon;Education;2
stay near industrial area sahibganj factory near jamshedpur releases thick black smoke every day hard breathe kindly inspect pollution levels area;Air & Environmental Pollution;1
sir drainage near market kishanpur blocked garbage overflowing please send garbage truck area regularly;Waste Management;7
dear officer proper sewage system nagla basti waste water collects road every day please look matter urgently;Water Quality & Sanitation;8
wild animals nearby forest keep destroying crops gumla night facing lot losses please help soon;Agriculture & Rural Development;0
hello crop insurance claim last season still paid farmers barhi complaining long time;Agriculture & Rural Development;0
hello child suffering fever 16 days local clinic medicines really worried health children;Public Health;5
nearest school higher secondary far giridih many students drop please help us soon possible;Education;2
farming chatra many years tube well provided government ranchi stopped working months facing lot losses please help soon;Agriculture & Rural Development;0
